"Algorithm","Hash","Path"
"SHA256","3FFFC39A57473F2E8779DD9EB1934201F0E4A07F2D516CC60E10B6501BCEE72E","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\LAB3\Evidence\autoruns_before.csv"
"SHA256","581276B1F07979AE0C71D71E4FE9688FF2006A59CB0A4EDCB326A4AF69AA1DCE","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","6236C61AD481E89D4AD07EBAEC6CB48EBBA66D680BE31E3DF0495324F5022A15","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","39230CCDA7EB2E065010601CB96DC19F6033C1A520FCE5E56777E7D7143EA5C7","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","82D24E2A33D69A3FC9D73967C6BC9F75B652C979F33E2940046994001CBF92DD","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","B534701ACB73B95F3F71A8557A416B1DF34C8573B128084457688D2CC263C0B8","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","1BD610A2FFCA5941F364A8D0DBB151938A1C70E4A7BEBBE76312AD44CA8A007B","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","9FB55B5928A415644A2007930A486BA447C9AFDF6153F80AE72D1E1DAD8C9DF1","C:\LAB3\Evidence\start_time.txt"
